character,universe,n
beatriz_da_costa,prime_earth,1
beatriz_da_costa,super_friends,1
beatriz_grey,amalgam_universe,1
beautiful_dreamer,new_earth,1
beauty_blaze,pre_zero_hour,1
bedbug,new_earth,1
bedlam,prime_earth,1
behrad_tarazi,arrowverse,1
bekka,gods_and_monsters,1
bekka,new_earth,1
bekka,prime_earth,1
bel_dame,prime_earth,1
bel_juz,earth_one,1
belial,new_earth,1
belinda_zee,cosmic_adventures,1
belizar,new_earth,1
bellerophon,new_earth,1
bellona,new_earth,1
belphegor,new_earth,1
beluga_boy,earth_16,1
belzebeth,prime_earth,1
benjamin_asplin,new_earth,1
benjamin_grimm,amalgam_universe,1
benjamin_krullen,earth_one,1
benjamin_krullen,new_earth,1
benjamin_orchard,prime_earth,1
benjamin_raymond,new_earth,1
benjamin_reyes,prime_earth,1
benjamin_turner,arkhamverse,1
benjamin_turner,dc_animated_movie_universe,1
benjamin_turner,lego_batman,1
benjamin_turner,new_earth,1
benjamin_turner,prime_earth,1
benjamin_turner,soul_of_the_dragon,1
benn_pares,pre_zero_hour,1
beowulf,new_earth,1
beowulf,prime_earth,1
beppo,batman_1966_tv_series,1
beppo,earth_one,1
berenice_yoon_milonas,prime_earth,1
bernadeth,new_earth,1
bernadeth,prime_earth,1
bernard_venton,new_earth,1
bernhard_baker,animal_man_shorts,1
bernhard_baker,new_earth,1
bernhard_baker,prime_earth,1
bernie_the_brain,earth_one,1
berta_skye_haris,pre_zero_hour,1
bertor_ardeen,post_zero_hour,1
bertrand_eldon,arrowverse,1
bertron_diib,new_earth,1
bette_noir,new_earth,1
bette_sans_souci,arrowverse,1
bette_sans_souci,futures_end,1
bette_sans_souci,lego_batman,1
bette_sans_souci,new_earth,1
bette_sans_souci,prime_earth,1
bette_sans_souci,smallville,1
biff,justice_league_action,1
biff,titans_tv_series,1
big_barda,dc_legends,1
big_barda,dc_super_hero_girls,1
big_barda,dcau,1
big_barda,dceased,1
big_barda,earth_1198,1
big_barda,earth_2,1
big_barda,justice_league_action,1
big_barda,lego_batman,1
big_barda,new_earth,1
big_barda,prime_earth,1
big_barda,the_brave_and_the_bold,1
big_barda,the_coming_of_the_supermen,1
big_bear,new_earth,1
bigby_wolf,fables,1
bilbat,earth_s,1
billy,farm_league,1
billy_batson,adventures_of_captain_marvel_1941_serial,1
billy_batson,dc_animated_movie_universe,1
billy_batson,dc_extended_universe,1
billy_batson,dc_legends,1
billy_batson,dc_universe_online,1
billy_batson,dcau,1
billy_batson,dceased,1
billy_batson,earth_16,1
billy_batson,earth_21,1
billy_batson,earth_22,1
billy_batson,earth_5,1
billy_batson,earth_85,1
billy_batson,earth_s,1
billy_batson,future_state,1
billy_batson,injustice,1
billy_batson,justice,1
billy_batson,justice_league_action,1
billy_batson,kid_super_power_hour,1
billy_batson,legends_of_the_superheroes,1
billy_batson,lego_batman,1
billy_batson,magic_of_shazam,1
billy_batson,mortal_kombat_vs_dc_universe,1
billy_batson,new_earth,1
billy_batson,return_of_black_adam,1
billy_batson,shazam_shorts,1
billy_batson,superman_batman,1
billy_batson,tiny_titans,1
billy_fat_marvel_batson,earth_5,1
billy_fat_marvel_batson,earth_s,1
billy_gander,earth_twelve,1
billy_hill_marvel_batson,earth_5,1
billy_tall_marvel_batson,earth_5,1
billy_the_girl,new_earth,1
bina_chawney,dakotaverse,1
bird_man,earth_124_1,1
birgit_eisenmann,new_earth,1
biron,earth_one,1
bito_wladon,dcau,1
bixby_rhodes,new_earth,1
bizarra,earth_29,1
bizarrfo,farm_league,1
bizarro,dc_super_friends_web_series,1
bizarro,dcau,1
bizarro,earth_23,1
bizarro,earth_3,1
bizarro,earth_423,1
bizarro,earth_5_8,1
bizarro,earth_one,1
bizarro,injustice,1
bizarro,justice,1
bizarro,justice_league_action,1
bizarro,new_earth,1
bizarro,riddle_of_the_beast,1
bizarro,scooby_doo_team_up,1
bizarro,smallville,1
bizarro,tales_of_metropolis_shorts,1
bizarro,tiny_titans,1
bizarro,trapped_in_time,1
bizarro_all_star,dcau,1
bizarro_amazo,earth_one,1
bizarro_animal_man,new_earth,1
bizarro_atom,new_earth,1
bizarro_batman,dcau,1
bizarro_batman,earth_one,1
bizarro_beast_boy,tiny_titans,1
bizarro_brainiac,new_earth,1
bizarro_catwoman,new_earth,1
bizarro_cyborg,tiny_titans,1
bizarro_doctor_fate,new_earth,1
bizarro_fire,new_earth,1
bizarro_flash,earth_one,1
bizarro_girl,new_earth,1
bizarro_girl,tiny_titans,1
bizarro_green_lantern,earth_29,1
bizarro_hawkgirl,new_earth,1
bizarro_hawkman,earth_one,1
bizarro_i,new_earth,1
bizarro_ii,new_earth,1
bizarro_ii,prime_earth,1
bizarro_jimmy_olsen,earth_one,1
bizarro_jr,earth_one,1
bizarro_krypto,dcau,1
bizarro_krypto,earth_one,1
bizarro_lois_lane,earth_one,1
bizarro_metamorpho,earth_29,1
bizarro_mister_terrific,earth_29,1
bizarro_phantom_girl,earth_29,1
bizarro_plastic_man,earth_29,1
bizarro_robin,tiny_titans,1
bizarro_sinestro,earth_29,1
bizarro_starfire,tiny_titans,1
bizarro_superboy,earth_29,1
bizarro_superboy,earth_one,1
bizarro_superboy_ii,pre_zero_hour,1
bizarro_supergirl,earth_one,1
bizarro_superman,earth_29,1
bizarro_titano,earth_one,1
bizarro_wonder_woman,new_earth,1
bizarro_zatanna,new_earth,1
black_barax,new_earth,1
black_cloud_in_morning,new_earth,1
black_light,dcau,1
black_manta,earth_16,1
black_racer,dceased,1
black_racer,prime_earth,1
black_vulcan,super_friends,1
black_zero,hyper_tension,1
blackbriar_thorn,new_earth,1
blackbriar_thorn,prime_earth,1
blake_bloodlines,prime_earth,1
blank,prime_earth,1
blanque,prime_earth,1
blaze,new_earth,1
blaze_allen,amalgam_universe,1
bleez,lego_batman,1
bleez,new_earth,1
bleez,prime_earth,1
blight,prime_earth,1
blinder,new_earth,1
blizard,new_earth,1
blok,legion_of_super_heroes_tv_series,1
blok,pre_zero_hour,1
blood_rose,prime_earth,1
bloodthirst,new_earth,1
bloody_mary,fables,1
blubber,new_earth,1
blue_jay,earth_8,1
blue_lama,earth_two,1
blur,prime_earth,1
blynde,new_earth,1
blythe_bonner,new_earth,1
bobb_kohan,pre_zero_hour,1
bobby,teen_titans_tv_series,1
bobo_t_chimpanzee,dceased,1
bobo_t_chimpanzee,lego_batman,1
bobo_t_chimpanzee,new_earth,1
bobo_t_chimpanzee,prime_earth,1
boka,earth_16,1
boka,new_earth,1
bolphunga,emerald_knights,1
bolphunga,new_earth,1
bolphunga,prime_earth,1
bonehead,new_earth,1
bonny_hoffman,prime_earth,1
boo_bear,fables,1
boodikka,new_earth,1
bor_jak,earth_one,1
borb_borbb,new_earth,1
boston_brand,damned,1
boston_brand,dcau,1
boston_brand,earth_22,1
boston_brand,earth_3839,1
boston_brand,future_state,1
boston_brand,new_earth,1
boston_brand,prime_earth,1
boston_brand,scooby_doo_team_up,1
boston_brand,the_brave_and_the_bold,1
bottom_feeder,new_earth,1
boy_beast,teen_titans_go_tv_series,1
boy_blue,fables,1
brain,justice_league_action,1
brain,new_earth,1
brain,prime_earth,1
brain_interactive_construct,smallville,1
brainiac,brainiac_attacks,1
brainiac,dcau,1
brainiac,earth_23,1
brainiac,earth_3,1
brainiac,filmation_adventures,1
brainiac,justice,1
brainiac,legion_of_super_heroes_tv_series,1
brainiac,man_of_tomorrow,1
brainiac,shogun_of_steel,1
brainiac,super_friends,1
brainiac,tiny_titans,1
brainiac_12,futuresmiths,1
brainiac_8,new_earth,1
brainiac_8,prime_earth,1
brainy_barker,krypto_the_superdog,1
braka,new_earth,1
branca,new_earth,1
brandon_marshall,black_lightning_tv_series,1
brat,justice_league_action,1
brawl,new_earth,1
breathtaker_ii,new_earth,1
brek_bannin,legion_of_super_heroes_tv_series,1
brek_bannin,post_zero_hour,1
brek_bannin,pre_zero_hour,1
