character,universe,gender
mitchell_anderson,new_earth,male
pamela_isley,new_earth,female
peter_ross,amalgam_universe,male
roderick_rose,new_earth,male
rudolph_jones,justice_league_action,male
sameer_park,dc_animated_movie_universe,male
sylvan_scofield,new_earth,female
terrence_mcginnis,dcau,male
virgil_hawkins,dakotaverse,male
wallflower,wildstorm_universe,female
adrianna_tomaz,new_earth,female
ahri_ahn,new_earth,male
amazo,earth_16,male
arak_wind_walker,new_earth,male
avery_ho,prime_earth,female
barry_allen,dc_super_friends_web_series,male
barry_allen,earth_16,male
barry_allen,out_of_time,male
bedlam_ii,new_earth,male
behrad_tarazi,arrowverse,male
berta_skye_haris,pre_zero_hour,female
black_flash,prime_earth,genderless
blue_condor,prime_earth,male
boreas,new_earth,male
breathtaker_ii,new_earth,female
bromwell_stikk,earth_16,male
bromwell_stikk,new_earth,male
chase_lawler,new_earth,male
citizen_abra,earth_5_8,male
cloud_9,prime_earth,female
clyde_mardon,arrowverse,male
david_drake,injustice,male
david_drake,prime_earth,male
dervish,new_earth,female
drogue,prime_earth,male
dust_devil,new_earth,female
eleanor_darhk,arrowverse,female
emilo_storn,earth_one,male
eobard_thawne,injustice,male
eurus,earth_2,male
feng_po_impostor,new_earth,male
feodor_piotrovitch_sorin,new_earth,male
gabriel,constantine_movie,male
gary_johnson,earth_one,male
hades,dcau,male
harmonia_li,pre_zero_hour,female
hemi_kiwara,new_earth,male
hurricane,new_earth,male
inertia_ii,new_earth,male
jason,prime_earth,male
jason_garrick,dc_legends,male
jason_garrick,injustice,male
jay_garrick_clone,new_earth,male
jinx,new_earth,female
jocelyn_jackam,arrowverse,female
john_constantine,arrowverse,male
john_trujillo,new_earth,male
jonathan_chambers,new_earth,male
joseph_carver,prime_earth,male
khalid,new_earth,male
leonard_lewis,just_imagine,male
linda_park,earth_32,female
lithium,prime_earth,male
lloyd_jefferson,new_earth,male
lois_lane,earth_2,female
lucifer_rofocale,constantine_movie,male
lumi,fables,female
lutessa_luthor,smallville,female
maelstrom,prime_earth,female
mark_mardon,arrowverse,male
mas_y_menos,tiny_titans,male
maxine_hunkel,earth_22,female
maxine_hunkel,new_earth,female
meena_dhawan,prime_earth,female
merlin,new_earth,male
merton_mcsnurtle,tiny_titans,male
monkey_prince,prime_earth,male
moshe_levy,new_earth,male
nightstorm,prime_earth,male
omar_kamadev,wildstorm_universe,male
ororo_of_themyscira,amalgam_universe,female
peter_dale,earth_one,male
red_tornado,crisis_on_two_earths,male
red_tornado,dcau,male
red_tornado,earth_22,male
red_tornado,earth_11,female
red_tornado,earth_16,male
red_tornado,flashpoint_timeline,male
red_tornado,injustice,male
red_tornado,justice_league_action,male
red_tornado,justice,male
red_tornado,lego_batman,male
red_tornado,new_earth,male
red_tornado,prime_earth,male
red_tornado,super_friends,male
red_tornado,the_brave_and_the_bold,male
robinson_goode,prime_earth,female
roscoe_dillon,prime_earth,male
roscoe_hynes,prime_earth,male
sam_zhao,earth_2,male
samuel_song,prime_earth,male
samurai_ii,new_earth,male
sarah_rainmaker,wildstorm_universe,female
shifu_pigsy,prime_earth,male
siracca,prime_earth,female
strato,prime_earth,male
superman,clark_kent,male
tai_darshan,new_earth,male
tempest,dc_one_million,female
tempest_drake,smallville,female
terra_mark_v,mash_up,female
tornado_champion,the_brave_and_the_bold,male
toshio_eto,new_earth,male
toshio_eto,super_friends,male
trigon,dc_animated_movie_universe,male
tsuki_yomi,new_earth,male
ulthoon,new_earth,male
valerie_kameya,dakotaverse,female
violet_of_the_rainbow_raiders,new_earth,female
wally_west,new_earth,male
wendy_hernandez,black_lightning_tv_series,female
wendy_jones,earth_16,female
wendy_jones,new_earth,female
wendy_jones,thunder_lightning_shorts,female
william_roberts,new_earth,male
wind_dragon,dcau,male
windshear,dakotaverse,female
zari_tarazi,arrowverse,female
zatanna_zatara,new_earth,female
abnegazar,justice_league_action,male
abnegazar,scooby_doo_team_up,male
abysmus,prime_earth,male
abyssma,new_earth,male
adam_sector_1_55,new_earth,male
adjudicator,earth_one,male
akka,pre_zero_hour,female
alastor_faud,pre_zero_hour,male
alia,new_earth,female
sinestro,the_brave_and_the_bold,male
alpheus,sixth_dimension,male
amalak,new_earth,male
amanita,new_earth,male
amon_hakk,new_earth,male
anointed_one,new_earth,male
apros,new_earth,genderless
ar_n_o_q,new_earth,male
arak,prime_earth,male
archon_z_gmora,new_earth,male
ares,dcau,male
argent,prime_earth,male
ariella_kent,new_earth,female
arisia_rrab,new_earth,female
arkillo,dc_universe_online,male
arkillo,lego_batman,male
arkillo,new_earth,male
arkillo,prime_earth,male
arn_digby,pre_zero_hour,male
arnus_ii,dakotaverse,male
artredis_qon,prime_earth,male
astrild_storm_daughter,new_earth,female
atrocitus,lego_batman,male
atrocitus,new_earth,male
atros,dc_legends,male
atros,prime_earth,male
auctioneer,new_earth,male
augustus_freeman,earth_16,male
augustus_freeman,prime_earth,male
ayla_ranzz,sw6,female
azrael,new_earth,male
b_dg,new_earth,male
b_dg,prime_earth,male
b_dg,tiny_titans,male
babe,atari_force,male
badra,earth_two,female
baern,smallville,male
barbatos,dark_multiverse,male
barda_free,gotham_city_garage,female
bat_mite,the_brave_and_the_bold,male
belzebeth,prime_earth,female
bertron_diib,new_earth,male
bette_noir,new_earth,female
big_barda,dc_legends,female
billy_the_girl,new_earth,female
bizarro,dc_legends,male
bizarro_krypto,dcau,male
black_beetle,earth_16,male
blackfang,new_earth,male
blok,dcau,male
blok,legion_of_super_heroes_tv_series,male
blok,post_rebirth,male
blok,pre_zero_hour,male
bolphunga,emerald_knights,male
bolphunga,new_earth,male
bolphunga,prime_earth,male
brainiac,krypton_tv_series,male
brainiac,man_of_tomorrow,male
brainiac_s_daughter,earth_22,female
brek_bannin,legion_of_super_heroes_tv_series,male
brek_bannin,post_zero_hour,male
brek_bannin,pre_zero_hour,male
brik,new_earth,female
bro_dee_walker,new_earth,male
bro_dee_walker,prime_earth,male
brunt,new_earth,male
brutus,prime_earth,male
bull_dog,earth_one,male
bzzd,new_earth,male
caellich,new_earth,male
caliban,prime_earth,male
calleen,prime_earth,female
calythos,justice_league_action,male
celerita,earth_two,female
cerimul,new_earth,male
ceritak,new_earth,male
cerizah,new_earth,female
ch_p,earth_5_8,male
ch_p,new_earth,male
ch_p,tiny_titans,male
cha_rissa,new_earth,female
