character,universe,prop_count,page_length,gender
amos_fortune,new_earth,12,374970,male
amos_monroe,new_earth,5,351437,male
amparo_cardenas,prime_earth,7,368211,female
amunet_black,new_earth,12,432642,female
amunet_black,prime_earth,10,356773,female
amy_allen,new_earth,11,377729,female
amy_allen,tiny_titans,11,354425,female
amy_smootster,zero_girl,7,356260,female
amy_winston,amethyst_shorts,8,356818,female
amy_winston,new_earth,9,371289,female
ana_von_furth,earth_16,7,354711,female
anaea,new_earth,6,357455,female
anahid,new_earth,10,358051,female
anann,new_earth,7,357125,female
anansi,arrowverse,5,347365,male
anansi,dcau,8,357447,male
anapel,prime_earth,7,361493,female
anastasia_force,new_earth,9,353514,female
anastasio_corvo,new_earth,8,378639,male
anatole,new_earth,6,349107,male
anatoli_knyazev,arkhamverse,10,361508,male
anatoli_knyazev,flashpoint_timeline,7,351307,male
anatoli_knyazev,harley_quinn_tv_series,7,359569,male
anatoli_knyazev,new_earth,10,384525,male
anatoli_knyazev,prime_earth,10,379605,male
anaya,new_earth,9,359921,female
anchoress,prime_earth,11,363221,female
andar_pul,new_earth,7,363697,male
andonis_bal,new_earth,8,352460,male
andre_lebeauvier,dakotaverse,8,370411,male
andre_twist,new_earth,10,363651,male
andrea_martinez,new_earth,6,389860,female
andrea_rojas,new_earth,10,358057,female
andrea_rojas,prime_earth,5,356885,female
andrea_rojas,smallville,10,369313,female
andrea_thomas,earth_s,8,357810,female
andrea_thomas,shazam_isis_hour,8,361921,female
andrej_trojan,future_state,8,369294,male
andrew_bennett,new_earth,9,415258,male
andrew_bennett,prime_earth,8,397840,male
andrew_bryant,earth_abc,7,361206,male
andrew_franklin,new_earth,7,366011,male
andrew_helm,earth_one,8,353592,male
andrew_johnson,wildstorm_universe,6,355999,male
andrew_mcfee,new_earth,10,353161,male
andrew_nolan,dcau,9,353328,male
andrew_nolan,legion_of_super_heroes_tv_series,8,378190,male
andrew_nolan,post_rebirth,10,357688,male
andrew_nolan,post_zero_hour,13,362407,male
andrew_nolan,pre_zero_hour,13,387685,male
andrew_nolan,scooby_doo_team_up,7,373852,male
andrew_nolan,sw6,7,379648,male
andrew_pulaski,prime_earth,8,373190,male
andrew_van_horn,new_earth,12,364304,male
andrina_curry,future_state,9,385529,female
andrina_curry,prime_earth,8,380518,female
angel,teen_titans_tv_series,10,355699,female
angel_fish,earth_twelve,9,357004,female
angel_of_death,preacher,9,354129,male
angela_hawkins_iii,new_earth,10,368490,female
angela_hawkins_iii,prime_earth,9,357090,female
angela_hawkins_iii,teen_titans_go_tv_series,7,352087,female
angela_hawkins_iii,teen_titans_tv_series,7,354236,female
angela_roth,new_earth,8,363943,female
angela_spatchcock,vertigo_universe,3,360128,female
angela_spica,futures_end,7,350409,female
angela_spica,prime_earth,9,353229,female
angela_spica,the_wild_storm,7,364555,female
angela_spica,wildstorm_universe,11,385161,female
angelica_smith,new_earth,7,358180,female
angelica_smith,tiny_titans,6,348511,female
angelica_wallis,new_earth,8,348506,female
angelika_bal,new_earth,7,353848,female
angelo_bend,new_earth,10,362702,male
angelo_bend,prime_earth,7,363197,male
anglette,prime_earth,6,352683,female
angry_charlie,new_earth,10,351812,male
angry_wizard,new_earth,8,348771,male
angus_mcdonough,izombie_tv_series,9,357884,male
anissa_pierce,black_lightning_tv_series,9,363693,female
anissa_pierce,injustice,8,350346,female
anissa_pierce,new_earth,10,369594,female
anissa_pierce,prime_earth,10,359418,female
anissa_pierce,thunder_lightning_shorts,6,349956,female
anita_fite,new_earth,10,371945,female
anna_fortune,new_earth,9,356364,female
anna_hark,wildstorm_universe,7,354720,female
anna_marie_borgia,new_earth,9,357837,female
annabeth_chamberlain,prime_earth,8,356118,female
annataz_arataz,earth_3,3,349410,female
anne_fletcher,new_earth,7,351569,female
anne_marie_flynn,arrowverse,8,366837,female
annie_january,the_boys,9,352316,female
anointed_one,new_earth,5,350105,male
anomaly,new_earth,11,357656,male
anomaly,prime_earth,7,354395,genderless
anomaly,singularity_aftermath,3,350600,genderless
antaeus,new_earth,6,352492,male
anthony,tiny_titans,9,352086,male
anthony_gambi,prime_earth,8,353681,male
anthony_ives,new_earth,10,373574,male
anthony_lupus,new_earth,9,356416,male
anthony_lupus,prime_earth,7,352455,male
anthony_romulus,dcau,8,360752,male
anthony_woodward,new_earth,12,373968,male
anthony_woodward,prime_earth,9,361720,male
anti_matter_man,antimatter_universe,6,360449,male
anti_monitor,antimatter_universe,10,415924,male
anti_monitor,infinite_crisis_video_game,8,353744,male
anti_monitor,tiny_titans,9,348819,male
antimache,ame_comi,8,351135,female
antinus,new_earth,9,358380,female
antiope,dc_extended_universe,13,362711,female
antiope,dc_super_hero_girls_tv_series,11,359072,female
antiope,dcau,12,356383,female
antiope,dceased,12,383584,female
antiope,earth_one,10,357314,female
antiope,injustice,10,361140,female
antiope,new_earth,9,372859,female
antiope,prime_earth,10,386494,female
antiope,tempest_tossed,11,383116,female
antiope,the_legend_of_wonder_woman,9,351468,female
antipathy,new_earth,4,350319,female
antithesis,new_earth,7,359400,male
anton_arcane,new_earth,11,386563,male
anton_arcane,prime_earth,9,382091,male
anton_arcane,swamp_thing_199_tv_series,8,361871,male
anton_arcane,swamp_thing_movies,6,362133,male
anton_geist,new_earth,5,371804,male
anton_lamont,new_earth,10,375829,male
anton_lamont,scooby_doo_team_up,9,355700,male
anton_unreal,earth_two,7,349177,male
antonia_monetti,new_earth,13,374883,female
antonia_monetti,teen_titans_tv_series,8,355464,female
antonio_diego,burtonverse,6,360436,male
antonio_stefanacci,pre_zero_hour,8,349786,male
anu,strange_visitor,5,350853,male
anubis,new_earth,8,362482,male
anubis,prime_earth,6,353869,male
apache_chief,super_friends,11,359479,male
aphrodite,earth_1,8,374742,female
aphrodite,new_earth,10,364979,female
aphrodite,prime_earth,9,398260,female
aphrodite,tempest_tossed,7,375759,female
aphrodite,the_brave_and_the_bold,9,353262,female
apollo,earth_2,5,360645,male
apollo,flowers_for_the_sun,10,360097,male
apollo,wildstorm_universe,9,388501,male
appex,prime_earth,5,348288,male
april_marigold,earth_one,9,350998,female
apros,new_earth,10,366332,genderless
apurna_chawney,dakotaverse,6,359611,female
aquaboy,tiny_titans,13,356241,male
aquaduck,earth_c_minus,3,350422,male
aquadus,earth_9,8,350710,male
aquagirl,teen_titans_tv_series,9,347709,female
aquagirl,tiny_titans,14,360982,female
aqualad,new_teen_titans_shorts,11,353536,male
aqualad,teen_titans_go_tv_series,12,359518,male
aqualad,teen_titans_tv_series,11,363217,male
aquaman,arthur_curry,11,656008,male
aquaman,crisis_on_two_earths,12,378955,male
aquaman,dc_one_million,12,398459,male
aquaman,earth_14,6,355957,male
aquaman,earth_d,6,352018,male
aquaman,earth_two,10,368392,male
aquaman,mortal_kombat_vs_dc_universe,10,358471,male
aquaman,teen_titans_go_tv_series,13,359107,male
aquaman,teen_titans_tv_series,13,355766,male
aquamandrill,farm_league,5,353521,male
aquamaria,dakotaverse,10,361102,female
aquan,riddle_of_the_beast,10,357170,male
aquarius,new_earth,3,365414,male
aquawoman,earth_11,10,375901,female
ar_n_o_q,new_earth,10,361739,male
arak,prime_earth,9,382679,male
arak_red_hand,new_earth,11,360620,male
arak_wind_walker,new_earth,8,356084,male
arani_desai,new_earth,10,373833,female
arcaana,dakotaverse,8,377348,female
archer,dakotaverse,10,373404,male
archer_braun,new_earth,12,366485,male
archibald_masters,earth_abc,8,361870,male
archie_trundle,prime_earth,6,350725,male
archimedes_sin,wildstorm_universe,8,356319,male
archon_z_gmora,new_earth,7,358499,male
arel,new_earth,5,348100,male
arella,teen_titans_tv_series,9,352707,female
